feedback_id,session_id,query_id_ref,model_id,rating,thumbs_up,comment,feedback_type,created_at
FB-001,sess-sc-001,1,dhs-slm-supply-chain-v3,5,true,"Excellent — gave us the exact supplier names and timelines we needed for the board deck. Saved 3 hours of research.",outcome_quality,2024-05-20 14:23:00
FB-002,sess-sc-001,2,dhs-slm-supply-chain-v3,5,true,"The re-routing plan was immediately actionable. We shared it with logistics ops and they confirmed the Hamburg corridor was correct.",outcome_quality,2024-05-28 09:11:00
FB-003,sess-sc-001,3,dhs-slm-supply-chain-v3,4,true,"Good risk register summary. Would have liked the dual-sourcing cost estimates broken out by supplier.",improvement,2024-06-05 16:44:00
FB-004,sess-sc-001,4,dhs-slm-supply-chain-v3,5,true,"Forecast numbers matched our existing spreadsheet model closely — 92% accuracy. Team trusts this output now.",outcome_quality,2024-06-12 11:02:00
FB-005,sess-sc-001,5,dhs-slm-supply-chain-v3,4,true,"Contract reference to MLA clause 18.4 was correct. Slightly too formal in tone for a quick exec summary.",style,2024-06-18 15:30:00
FB-006,sess-sc-001,6,dhs-slm-supply-chain-v3,5,true,"The working capital number (21.4%) was better than our own model (19%). Now using DHS as primary tool.",outcome_quality,2024-06-25 10:18:00
FB-007,sess-fr-002,7,dhs-slm-financial-risk-v2,5,true,"Output floor calculation was exactly right. Sent directly to Treasury team. Zero corrections needed.",outcome_quality,2024-05-30 14:22:00
FB-008,sess-fr-002,8,dhs-slm-financial-risk-v2,5,true,"TBML alert list matched our analyst team's assessment. Model caught Entity 3 (Horizon Tech HK) which our analyst had deprioritised — turned out to be the highest risk.",outcome_quality,2024-06-08 10:44:00
FB-009,sess-fr-002,9,dhs-slm-financial-risk-v2,5,true,"Stress test numbers consistent with our internal model to within 3%. Significant time saving on the SBP narrative.",outcome_quality,2024-06-15 09:32:00
FB-010,sess-fr-002,10,dhs-slm-financial-risk-v2,4,true,"CVA hedge recommendation was directionally correct. Needed our traders to verify the CDS notional sizing.",improvement,2024-06-20 16:01:00
FB-011,sess-fr-002,11,dhs-slm-financial-risk-v2,5,true,"ICAAP HHI narrative was publication-ready. Edited for house style only. Saved half a day of analyst time.",outcome_quality,2024-06-25 11:47:00
FB-012,sess-fr-002,12,dhs-slm-financial-risk-v2,5,true,"Model risk summary accurately flagged all 4 models. Rating changes were consistent with our MVM committee decisions.",outcome_quality,2024-06-28 14:12:00
FB-013,sess-cx-003,13,dhs-slm-cx-analytics-v2,5,true,"Segment list and churn probabilities were consistent with our Salesforce data. Confidence high.",outcome_quality,2024-05-22 10:15:00
FB-014,sess-cx-003,14,dhs-slm-cx-analytics-v2,4,true,"SME vs retail NPS driver distinction was insightful. NPS numbers matched our survey vendor data.",outcome_quality,2024-06-01 15:44:00
FB-015,sess-cx-003,15,dhs-slm-cx-analytics-v2,5,true,"Product recommendation with Consumer Duty suitability was immediately useful. Compliance team approved the output.",outcome_quality,2024-06-08 11:23:00
FB-016,sess-cx-003,16,dhs-slm-cx-analytics-v2,4,true,"Journey funnel percentages were close to our GA4 data (within 2pp). Root cause hypotheses were actionable.",outcome_quality,2024-06-14 16:30:00
FB-017,sess-cx-003,17,dhs-slm-cx-analytics-v2,5,true,"CLV comparison digital vs branch was eye-opening. Changed our marketing budget allocation decision.",outcome_quality,2024-06-22 09:55:00
FB-018,sess-cx-003,18,dhs-slm-cx-analytics-v2,5,true,"Monthly dashboard summary was accurate. Used as the basis for the exec pack — minimal edits.",outcome_quality,2024-06-28 15:00:00
FB-019,sess-hr-004,19,dhs-slm-hr-workforce-v1,4,true,"Critical role analysis was helpful. We were aware of Data Science gap but the quantification (0.8 successors/role) was new insight.",outcome_quality,2024-06-02 10:23:00
FB-020,sess-hr-004,20,dhs-slm-hr-workforce-v1,5,true,"Attrition cost breakdown (£8.4M) was very close to our own finance team's estimate (£8.1M). Confidence very high.",outcome_quality,2024-06-12 14:44:00
FB-021,sess-hr-004,21,dhs-slm-hr-workforce-v1,4,true,"DEI audit numbers matched our HR data. Promotion equity ratio gap for ethnic minority (0.76) is being escalated to board.",outcome_quality,2024-06-20 11:02:00
FB-022,sess-hr-004,22,dhs-slm-hr-workforce-v1,5,true,"3-year workforce plan was used directly in the board paper. Very detailed and realistic phasing.",outcome_quality,2024-06-27 16:34:00
FB-023,sess-it-005,23,dhs-slm-cybersecurity-v2,5,true,"IR playbook was immediately deployed. SOC team said it was more comprehensive than our previous manual playbook.",outcome_quality,2024-06-08 09:45:00
