entity_id,entity_label,entity_type,domain,domain_label,community,mentions,source_doc,is_event_trigger
ENT-001,Nexus Global Operations,ORG,DOM-001,supply_chain_logistics,1,24,SC_Strategy_2024.pdf,false
ENT-002,Vinatex Electronics,ORG,DOM-001,supply_chain_logistics,2,8,Supplier_Qualification_Report.xlsx,false
ENT-003,HCM Components Ltd,ORG,DOM-001,supply_chain_logistics,2,6,Supplier_Qualification_Report.xlsx,false
ENT-004,Monterrey Industrial,ORG,DOM-001,supply_chain_logistics,2,5,Alternative_Supplier_Registry.pdf,false
ENT-005,FastFreight UK,ORG,DOM-001,supply_chain_logistics,3,11,3PL_Scorecard_Q2_2024.xlsx,false
ENT-006,Nordic Express,ORG,DOM-001,supply_chain_logistics,3,7,3PL_Scorecard_Q2_2024.xlsx,false
ENT-007,TranzCargo Iberia,ORG,DOM-001,supply_chain_logistics,3,6,3PL_Scorecard_Q2_2024.xlsx,false
ENT-008,SemiCore,ORG,DOM-001,supply_chain_logistics,4,9,Single_Source_Risk_Register.pdf,false
ENT-009,Nexus Plastics,ORG,DOM-001,supply_chain_logistics,4,7,Single_Source_Risk_Register.pdf,false
ENT-010,FlexSeal GmbH,ORG,DOM-001,supply_chain_logistics,4,6,Single_Source_Risk_Register.pdf,false
ENT-011,DC-Birmingham,FACILITY,DOM-001,supply_chain_logistics,1,8,DC_Network_Map.pdf,false
ENT-012,Rotterdam Port,LOCATION,DOM-001,supply_chain_logistics,3,12,Freight_Routes_2024.pdf,true
ENT-013,Hamburg Port,LOCATION,DOM-001,supply_chain_logistics,3,9,Freight_Routes_2024.pdf,false
ENT-014,US Tariff China Electronics 25%,REGULATION,DOM-001,supply_chain_logistics,5,14,Trade_Policy_Alert_2024.pdf,true
ENT-015,James Whitfield,PERSON,DOM-001,supply_chain_logistics,1,6,SC_Strategy_2024.pdf,false
ENT-016,Amara Osei,PERSON,DOM-001,supply_chain_logistics,1,5,SC_Strategy_2024.pdf,false
ENT-017,Demand Forecast Q4,PROCESS,DOM-001,supply_chain_logistics,1,10,Forecast_Model_Q4.xlsx,false
ENT-018,Master Logistics Agreement,CONTRACT,DOM-001,supply_chain_logistics,3,9,MLA_2023_v2.pdf,false
ENT-019,SKU FMCG-HPC-022,PRODUCT,DOM-001,supply_chain_logistics,1,7,Product_Catalog_2024.xlsx,false
ENT-020,OTIF KPI 95%,METRIC,DOM-001,supply_chain_logistics,3,11,MLA_2023_v2.pdf,false
ENT-021,Meridian Bank Group,ORG,DOM-002,financial_risk_compliance,1,31,Annual_Report_2024.pdf,false
ENT-022,Prudential Regulation Authority,ORG,DOM-002,financial_risk_compliance,5,14,PRA_SS1_23.pdf,false
ENT-023,Financial Conduct Authority,ORG,DOM-002,financial_risk_compliance,5,11,FCA_Consumer_Duty.pdf,false
ENT-024,European Central Bank,ORG,DOM-002,financial_risk_compliance,5,9,ECB_Stress_Test_Framework.pdf,false
ENT-025,Deutsche Bank,ORG,DOM-002,financial_risk_compliance,2,8,Counterparty_Risk_Report.pdf,false
ENT-026,BNP Paribas,ORG,DOM-002,financial_risk_compliance,2,7,Counterparty_Risk_Report.pdf,false
ENT-027,Argent Properties plc,ORG,DOM-002,financial_risk_compliance,3,6,Large_Exposure_Monitor.xlsx,false
ENT-028,Basel IV Framework,REGULATION,DOM-002,financial_risk_compliance,5,16,Basel_IV_CRR3_Summary.pdf,false
ENT-029,CET1 Ratio,METRIC,DOM-002,financial_risk_compliance,4,14,Capital_Report_Jun2024.xlsx,false
ENT-030,Output Floor 72.5%,REGULATION,DOM-002,financial_risk_compliance,5,10,Basel_IV_CRR3_Summary.pdf,false
ENT-031,ICAAP 2024,DOCUMENT,DOM-002,financial_risk_compliance,4,12,ICAAP_2024_Draft.pdf,false
ENT-032,Retail Mortgage PD Model v7.2,MODEL,DOM-002,financial_risk_compliance,6,8,Model_Risk_Register.xlsx,false
ENT-033,SME Scorecard v3.1,MODEL,DOM-002,financial_risk_compliance,6,7,Model_Risk_Register.xlsx,false
ENT-034,Dr. Priya Nair,PERSON,DOM-002,financial_risk_compliance,1,9,Executive_Bio.pdf,false
ENT-035,Marcus Webb,PERSON,DOM-002,financial_risk_compliance,1,6,Executive_Bio.pdf,false
ENT-036,SBP Stress Test Scenario,PROCESS,DOM-002,financial_risk_compliance,4,10,Stress_Test_Framework_2024.pdf,true
ENT-037,AML Monitoring System,SYSTEM,DOM-002,financial_risk_compliance,1,11,AML_Policy_v4.pdf,false
ENT-038,CVA Hedge Portfolio,INSTRUMENT,DOM-002,financial_risk_compliance,2,7,Trading_Book_Report.pdf,false
ENT-039,HHI Concentration Index,METRIC,DOM-002,financial_risk_compliance,3,8,ICAAP_2024_Draft.pdf,false
ENT-040,6th AML Directive,REGULATION,DOM-002,financial_risk_compliance,5,8,AML_Policy_v4.pdf,false
ENT-041,Nexus Retail Bank,ORG,DOM-003,customer_experience_analytics,1,28,CX_Strategy_2024.pdf,false
ENT-042,Mass Affluent Segment,SEGMENT,DOM-003,customer_experience_analytics,2,12,Segmentation_Model_2024.pdf,false
ENT-043,Young Professional Segment,SEGMENT,DOM-003,customer_experience_analytics,2,10,Segmentation_Model_2024.pdf,false
ENT-044,CLV Prediction Model v4,MODEL,DOM-003,customer_experience_analytics,3,9,Model_Catalogue_2024.pdf,false
ENT-045,NPS Driver Analysis,PROCESS,DOM-003,customer_experience_analytics,4,11,CX_Measurement_Framework.pdf,false
